totim,kstp,kper,zone,ghb-in,sfr-in,ghb-out,sfr-out,from-zone-0,from-zone-1,from-zone-2,from-zone-3,to-zone-0,to-zone-1,to-zone-2,to-zone-3
1.0,1,1,1,0.0,1.645178466578045,971.4346313810784,2542.983675659749,0.0,0.0,3170.977896797866,0.0,0.0,0.0,4070.733448947618,0.0
1.0,1,1,2,0.0,0.0,0.0,0.0,0.0,4070.733448947618,0.0,3165.743591495381,0.0,3170.977896797866,0.0,4065.544118062895
1.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,4065.544118062895,0.0,0.0,0.0,3165.743591495381,0.0
31.0,1,2,1,0.0,1.705097474578224,763.6148649561983,1915.677766430417,0.0,0.0,2418.920815546111,0.0,0.0,0.0,3309.426695646713,0.0
31.0,1,2,2,0.0,0.0,0.0,0.0,0.0,3309.426695646713,0.0,2414.782265941607,0.0,2418.920815546111,0.0,3306.253467552859
31.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,3306.253467552859,0.0,0.0,0.0,2414.782265941607,0.0
61.0,1,3,1,0.0,1.575373732709068,1066.740499443535,2806.003274175507,0.0,0.0,3483.725406785838,0.0,0.0,0.0,4398.004008069507,0.0
61.0,1,3,2,0.0,0.0,0.0,0.0,0.0,4398.004008069507,0.0,3477.992452254569,0.0,3483.725406785838,0.0,4390.948495609395
61.0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,4390.948495609395,0.0,0.0,0.0,3477.992452254569,0.0
91.0,1,4,1,0.0,1.3643974047543,1465.135633086024,4055.13492115534,0.0,0.0,4968.12909470183,0.0,0.0,0.0,5888.433953157904,0.0
91.0,1,4,2,0.0,0.0,0.0,0.0,0.0,5888.433953157904,0.0,4960.120455294611,0.0,4968.12909470183,0.0,5878.510960501864
91.0,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,5878.510960501864,0.0,0.0,0.0,4960.120455294611,0.0
121.0,1,5,1,0.0,1.161125120909674,1767.296250506191,5047.724572084016,0.0,0.0,6135.788027888983,0.0,0.0,0.0,7052.045813346416,0.0
121.0,1,5,2,0.0,0.0,0.0,0.0,0.0,7052.045813346416,0.0,6125.882357725423,0.0,6135.788027888983,0.0,7040.594956711547
121.0,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,7040.594956711547,0.0,0.0,0.0,6125.882357725423,0.0
151.0,1,6,1,0.0,1.097687612446862,1882.132085486321,5456.536630516862,0.0,0.0,6614.500096993977,0.0,0.0,0.0,7521.956163789371,0.0
